Filename	Rating
AF1.jpg	2
AF1.jpg	3
AF1.jpg	2
AF1.jpg	1
AF1.jpg	3
AF1.jpg	2
AF1.jpg	2
AF1.jpg	3
AF1.jpg	3
AF1.jpg	3
AF1.jpg	3
AF1.jpg	2
AF1.jpg	3
AF1.jpg	3
AF1.jpg	2
AF1.jpg	1
AF1.jpg	3
AF1.jpg	3
AF1.jpg	2
AF1.jpg	3
AF1.jpg	2
AF1.jpg	3
AF1.jpg	2
AF1.jpg	1
AF1.jpg	3
AF1.jpg	2
AF1.jpg	3
AF1.jpg	2
AF1.jpg	2
AF1.jpg	1
AF1.jpg	3
AF1.jpg	1
AF1.jpg	3
AF1.jpg	2
AF1.jpg	2
AF1.jpg	2
AF1.jpg	3
AF1.jpg	3
AF1.jpg	3
AF1.jpg	3
AF1.jpg	2
AF1.jpg	2
AF1.jpg	2
AF1.jpg	2
AF1.jpg	2
AF1.jpg	3
AF1.jpg	3
AF1.jpg	2
AF1.jpg	2
AF1.jpg	1
AF1.jpg	2
AF1.jpg	3
AF1.jpg	3
AF1.jpg	3
AF1.jpg	3
AF1.jpg	2
AF1.jpg	2
AF1.jpg	2
AF1.jpg	1
AF1.jpg	3
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	5
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	5
AF2.jpg	5
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	4
AF2.jpg	3
AF2.jpg	5
AF2.jpg	5
AF2.jpg	5
AF2.jpg	5
AF2.jpg	3
AF2.jpg	4
AF2.jpg	3
AF2.jpg	5
AF2.jpg	5
AF2.jpg	4
AF2.jpg	3
AF2.jpg	5
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	4
AF2.jpg	5
AF2.jpg	4
AF2.jpg	4
AF2.jpg	3
AF2.jpg	4
AF3.jpg	5
AF3.jpg	3
AF3.jpg	5
AF3.jpg	2
AF3.jpg	3
AF3.jpg	3
AF3.jpg	3
AF3.jpg	3
AF3.jpg	3
AF3.jpg	3
AF3.jpg	2
AF3.jpg	3
AF3.jpg	4
