49,141
50,164
53,187
56,209
64,231
78,249
97,263
117,275
138,281
161,277
184,265
207,252
225,234
235,212
240,187
243,163
244,138
67,118
78,110
92,107
106,109
119,116
159,115
173,107
189,104
205,106
218,115
138,133
137,149
136,166
135,182
119,189
128,192
137,195
147,193
157,190
85,136
95,131
106,131
117,139
105,139
94,139
165,137
175,129
187,128
199,133
188,136
176,137
94,210
109,207
124,205
136,207
147,205
165,207
184,209
166,227
149,235
137,236
124,235
109,226
100,211
124,213
136,214
148,213
178,211
148,224
137,225
124,223
