84,133
83,154
85,175
89,196
97,215
109,231
123,244
139,254
156,257
172,255
185,244
197,232
208,218
216,202
222,186
226,169
229,152
103,109
116,103
131,104
145,109
157,119
189,125
201,120
212,118
224,119
231,127
172,139
171,153
171,167
171,180
154,188
161,191
167,194
173,192
178,191
118,134
128,128
139,131
148,140
137,141
126,140
188,145
197,138
208,139
215,146
208,150
198,149
135,210
147,207
158,204
165,206
172,205
180,208
187,213
179,221
171,224
163,225
156,224
146,220
140,211
157,212
164,213
172,212
182,214
172,212
164,213
157,212
