69,143
70,162
74,182
79,200
85,220
94,236
105,251
120,260
139,262
161,260
181,252
199,241
211,227
219,207
221,186
224,164
226,142
72,127
79,116
92,113
105,115
117,121
146,119
161,112
178,109
194,112
205,122
131,136
131,149
130,162
129,175
120,185
125,187
132,188
139,186
146,184
87,141
95,136
106,136
115,142
105,145
94,145
157,140
166,133
177,133
187,138
178,142
167,142
108,214
115,204
124,200
133,201
141,199
154,203
167,212
155,220
143,224
134,225
125,225
115,223
113,214
125,207
133,208
142,207
162,212
142,214
133,215
125,215
