78,136
79,155
84,174
89,193
96,210
107,226
120,239
134,250
150,253
166,251
182,241
197,228
208,211
216,193
221,174
225,155
226,135
91,126
102,122
114,124
126,128
137,133
159,131
172,126
184,122
197,121
209,125
149,147
149,161
149,175
149,189
136,195
143,198
150,200
157,198
163,196
105,147
113,142
123,143
130,150
122,152
112,151
168,150
176,144
185,143
193,147
186,152
177,153
125,216
135,214
143,212
149,215
156,213
165,215
176,215
166,224
157,229
149,229
143,228
134,224
128,216
143,218
149,219
156,218
172,216
156,219
149,220
143,219
