73,126
75,146
79,167
83,187
91,206
102,222
118,236
137,247
157,251
177,247
197,235
214,221
227,204
234,184
236,163
238,142
239,120
88,118
100,112
113,112
126,114
138,119
166,117
178,111
191,108
204,108
216,113
151,136
152,151
152,166
152,180
139,186
145,188
153,191
160,188
167,186
104,136
113,131
123,132
131,140
122,142
112,141
175,139
182,130
192,128
201,133
194,139
184,140
127,202
137,200
146,199
154,201
161,199
172,199
185,201
173,210
162,215
154,216
146,215
136,210
131,203
146,205
154,207
162,205
180,202
162,205
154,207
146,205
