64,135
70,162
76,188
84,211
97,235
115,255
136,271
160,282
184,283
206,277
222,261
238,241
249,219
254,195
256,170
255,144
254,118
92,124
105,112
123,107
142,108
160,113
182,109
198,104
213,100
229,103
240,112
173,125
176,141
179,157
182,173
157,183
168,187
179,191
190,187
199,182
113,132
123,127
135,126
146,131
136,133
124,134
194,128
204,122
214,121
224,125
216,127
205,128
137,214
151,206
168,203
179,205
190,202
203,204
215,210
205,227
192,236
181,239
169,237
152,229
142,214
168,209
179,211
191,209
210,210
191,224
180,226
168,225
