67,116
63,144
61,173
65,200
77,225
95,247
116,266
138,279
160,285
181,281
198,265
214,249
228,232
239,211
245,191
249,170
250,151
107,116
122,107
140,106
158,112
175,120
201,127
216,123
230,123
242,127
246,139
189,138
189,153
189,169
189,184
162,186
172,192
182,198
191,196
198,193
128,129
139,128
148,130
157,135
146,134
137,132
203,144
214,141
223,143
231,147
222,148
213,146
129,203
146,204
163,207
173,211
183,211
192,212
200,215
189,234
178,240
168,239
156,236
141,225
132,205
162,211
172,215
182,215
195,217
180,229
170,229
159,227
