76,134
76,155
79,176
81,197
87,216
97,233
111,247
128,258
148,261
169,259
188,248
203,235
214,218
220,199
222,180
225,160
226,140
89,116
96,103
110,97
125,98
138,104
161,103
176,98
192,99
205,105
213,118
149,126
149,140
148,154
148,168
133,178
140,180
148,183
156,180
164,178
104,132
113,128
123,128
131,134
121,136
112,135
170,134
178,129
188,129
196,133
189,137
179,137
120,204
129,196
139,194
148,196
157,194
168,197
179,204
169,215
158,220
148,221
138,219
128,213
124,204
139,200
148,201
157,201
175,204
158,209
148,211
139,209
