50,128
54,153
61,176
68,199
77,221
90,239
108,253
130,262
156,262
181,256
204,243
222,226
234,206
239,182
241,157
243,133
243,108
60,103
70,90
86,86
103,86
120,90
152,89
169,82
186,78
204,78
219,88
138,111
138,128
139,145
140,163
126,176
134,179
143,181
153,177
162,172
82,120
91,113
103,112
115,120
103,123
91,124
167,115
176,106
189,104
199,109
191,115
178,116
120,213
130,204
139,198
147,200
155,197
167,200
180,205
169,213
159,217
150,219
141,219
131,218
125,212
140,207
148,207
156,206
175,206
157,206
148,208
139,207
